DATE,ANALYST,TIME SENT,EVENT DAY,EVENT START,LOCATION,SPORT,EVENT TYPE,EVENT,RACE,NO.,SELECTION,UNITS INVESTED,MARKET ADVICE,BET TYPE,MARKET LINE / TOTAL,RECOMMENDED PRICE,RECORDING METHOD,ODDS ,RESULT,UNITS COLLECTED,P/L,CUMULATIVE P/L,CUMULATIVE UNITS INVESTED,POT%,ROI%,PROFIT ($100 UNIT),BET WIN LOSE,PRICE,COMMISION,EMAIL ODDS,AVAILABLE ODDS,BEST FIXED EMAIL SENT,BEST FIXED CLOSING,BETFAIR SP,BOB/BTSP,BEST TOTE,AGENCY,EMAIL BEST LINE / TOTAL,EMAIL BEST ODDS,RESULT,CLOSING LINE,CLOSING PINNACLE,CLOSING BETFAIR,RESULT,EMAIL,GOAT,BFSP,TF,SP,EMAIL,Mid Tote,GOAT,BFSP
08-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Warwick Farm,,,Launch Code,1,,Win,,,,5,L,0,-1,340,4311.7,7.90%,340.00%,"$34,001.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Warwick Farm,,,Once More A Lady,0.5,,Win,,,,34,L,0,-0.5,339.5,4312.2,7.90%,339.50%,"$33,951.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Warwick Farm,,,Once More A Lady,0.5,,Place,,,,7,L,0,-0.5,339,4312.7,7.90%,339.00%,"$33,901.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Warwick Farm,,,Suspenders,0.5,,Win,,,,34,L,0,-0.5,338.5,4313.2,7.80%,338.50%,"$33,851.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-17,Luke Murrell,,Sat,,Australia,Horse Racing,,Warwick Farm,,,Suspenders,0.5,,Place,,,,5,L,0,-0.5,338,4313.7,7.80%,338.00%,"$33,801.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Gosford,,,Estefrette,1.5,,Win,,,,1.9,L,0,-1.5,336.5,4315.2,7.80%,336.50%,"$33,651.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Gosford,,,Inquiry,2,,Win,,,,4.6,L,0,-2,334.5,4317.2,7.70%,334.50%,"$33,451.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-17,Luke Murrell,,Tue,,Australia,Horse Racing,,Gosford,,,Inquiry,3,,Place,,,,1.8,L,0,-3,331.5,4320.2,7.70%,331.50%,"$33,151.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-17,Luke Murrell,,Thu,,Australia,Horse Racing,,Wyong,,,Buscaia,1,,Win,,,,6,L,0,-1,330.5,4321.2,7.60%,330.50%,"$33,051.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-17,Luke Murrell,,Thu,,Australia,Horse Racing,,Wyong,,,Onslaught,1.5,,Win,,,,2,L,0,-1.5,329,4322.7,7.60%,329.00%,"$32,901.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-17,Luke Murrell,,Fri,,Australia,Horse Racing,,Scone,,,Cleavvanicc,0.5,,Win,,,,6,W,3,2.5,331.5,4323.2,7.70%,331.50%,"$33,151.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
