DATE,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
13-Oct-20,16:48,TOWNSVILLE,4,5 – ACADEMY HILL,A.THOMPSON(A),331,,
13-Oct-20,16:55,PENOLA,6,5 – TURF TAPPER,J.POTTER,423,WINNER,$4.00 /$1.66
,,,,,,,,
12-Oct-20,13:00,ECHUCA,1,1 – CANDLER,J.BOWDITCH,572,,
12-Oct-20,13:45,MURWILLUMBAH,1,5 – GO FACTOR,R.FRADD,652,,
12-Oct-20,14:40,GUNNEDAH,3,6 – POETRY IN MOTION,A.GIBBONS,822,,
12-Oct-20,15:00,ECHUCA,5,2 – MONTALBANO,J.HILL,362,2ND,/$1.81
12-Oct-20,15:15,GUNNEDAH,4,4 – THE JAGUAR (BEST BET),C.LEVER,2,2ND,/$1.62
12-Oct-20,15:35,MURWILLUMBAH,4,4 – THE THICK OF IT,R.FRADD,X81,,
12-Oct-20,15:55,GUNNEDAH,5,1 – ANOTHER ARLI,D.GIBBONS(A),216,2ND,/$1.23
12-Oct-20,16:00,ECHUCA,7,11 – OPOHO DREAMING,J.CHILDS,703,LATE,SCRATCHING
,17:25,MURWILLUMBAH,7,2 - DIVINE DIVA,B.HODDER,X42,2ND,/$1.17
,,,,,,,,
,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
11-Oct-20,12:20,SWAN HILL,1,11 – AMOROSITY,W.PRICE(A),992,,
11-Oct-20,13:25,SWAN HILL,3,4 – MALLEE BOY EXPRESS,M.LLOYD(A),X33,3RD,/$1.55
11-Oct-20,13:50,CRANBOURNE,3,4 – EXCELMAN,D.OLIVER,X02,WINNER,$1.65 /$1.08
11-Oct-20,13:55,SUNSHINE COAST,1,8 – TRADUCE (BEST BET),R.FRADD,423,WINNER,$1.50 /$1.06
11-Oct-20,14:20,HAWKESBURY,3,1 – FIELDS OF HONOUR,J.COLLETT,332,,
11-Oct-20,15:00,CRANBOURNE,5,6 – SCOTTISH DANCER,M.DEE,3X4,WINNER,$2.10 /$1.25
11-Oct-20,15:05,SUNSHINE COAST,3,2 – BOBLEE,B.STEWART,X15,WINNER,$3.08 /$1.83
11-Oct-20,15:35,HAWKESBURY,5,5 – TUDOR MUSIC,K.LATHAM,141,,
11-Oct-20,15:40,CRANBOURNE,6,7 – ANCESTRY (BEST BET),M.POY(A),4X1,WINNER,$2.10 /$1.20
11-Oct-20,15:45,SUNSHINE COAST,4,5 – FEDERAL AGENT,T.HARRISON,6X1,3RD,/$1.44
11-Oct-20,15:50,SWAN HILL,7,6 – SATIN SHEEN,T.BULL(A),203,WINNER,$5.50 /$2.15
